,TName,TPrice,TACPrice,TDesc,TOff
11,POCO Pad 5G 8 GB RAM 256 GB ROM 12.1 inch with Wi-Fi+5G Tablet (Pistachio Green),"₹25,999","₹32,999","8.0 GB RAM | 256 GB ROM | Expandable Upto 1.5 TB30.73 cm (12.1 inch) Quad HD Display8 MP Primary Camera | 8 MP FrontAndroid Android 14 | Battery: 10000 mAh Lithium IonIdeal Usage: EntertainmentVoice Call (Dual Sim, 5G, 4G LTE, WCDMA, GSM)Processor: Snapdragon 7s Gen 21 Year Domestic Warranty",21% off
12,REDMI  Pad SE 8 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Lavender Purple),"₹14,999","₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB27.94 cm (11.0 inch) Full HD Display8.0 MP Primary Camera | 5 MP FrontAndroid 13 | Battery: 8000 mAh Lithium IonIdeal Usage: EntertainmentProcessor: Snapdragon 6801 Year Domestic Warranty,25% off
13,REDMI  Pad SE 6 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Mint Green),"₹13,999","₹16,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB27.94 cm (11.0 inch) Full HD Display8.0 MP Primary Camera | 5 MP FrontAndroid 13 | Battery: 8000 mAh Lithium IonIdeal Usage: EntertainmentProcessor: Snapdragon 6801 Year Domestic Warranty,17% off
14,REDMI  Pad SE 8 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Graphite Gray),"₹14,999","₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB27.94 cm (11.0 inch) Full HD Display8.0 MP Primary Camera | 5 MP FrontAndroid 13 | Battery: 8000 mAh Lithium IonIdeal Usage: EntertainmentProcessor: Snapdragon 6801 Year Domestic Warranty,25% off
15,REDMI  Pad SE 4 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Mint Green),"₹12,999","₹14,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB27.94 cm (11.0 inch) Full HD Display8.0 MP Primary Camera | 5 MP FrontAndroid 13 | Battery: 8000 mAh Lithium IonIdeal Usage: EntertainmentProcessor: Snapdragon 6801 Year Domestic Warranty,13% off
16,POCO Pad 5G 8 GB RAM 256 GB ROM 12.1 inch with Wi-Fi+5G Tablet (Cobalt Blue),"₹25,999","₹32,999","8.0 GB RAM | 256 GB ROM | Expandable Upto 1.5 TB30.73 cm (12.1 inch) Quad HD Display8 MP Primary Camera | 8 MP FrontAndroid 14 | Battery: 10000 mAh Lithium IonIdeal Usage: EntertainmentVoice Call (Dual Sim, 5G, 4G LTE, WCDMA, GSM)Processor: Snapdragon 7s Gen 21 Year Domestic Warranty",21% off
17,Lenovo Tab P12 8 GB RAM 128 GB ROM 12.7 Inch with Wi-Fi Only Tablet (Storm Grey),"₹22,999","₹40,000","Quad JBLspeakers, optimized with DolbyAtmos12.7 Inch | 3K Display (2944 x 1840) | 1 Billion Color DepthWiFi 6 Certified | Bluetooth 5.1 | USB Type-C8 GB RAM | 128 GB ROM | Expandable Upto 1 TB32.26 cm (12.7 Inch) Display13 MP Primary Camera | 8 MP FrontAndroid 13 | Battery: 10200 mAhProcessor: MediaTek Dimensity 70501 Year Comprehensive Warranty",42% off
18,Xiaomi Pad 6 6 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Graphite grey),"₹23,999","₹39,999","6 GB RAM | 128 GB ROM27.94 cm (11.0 inch) Display13.0 MP Primary Camera | 8 MP FrontAndroid 13 | Battery: 8840 mAhIdeal Usage: Entertainment, High Processing TasksProcessor: Qualcomm Snapdragon 8701 Year for Device and 6 Months for Battery",40% off
19,REDMI  Pad SE 6 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Graphite Gray),"₹13,999","₹16,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB27.94 cm (11.0 inch) Full HD Display8.0 MP Primary Camera | 5 MP FrontAndroid 13 | Battery: 8000 mAh Lithium IonIdeal Usage: EntertainmentProcessor: Snapdragon 6801 Year Domestic Warranty,17% off
20,Lenovo Tab M11 4 GB RAM 128 GB ROM 11.0 inch with 4G Tablet (Seafoam Green),"₹17,899","₹31,000","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB27.94 cm (11.0 inch) Display13 MP Primary Camera | 8 MP FrontAndroid 13 | Battery: 7040 mAhVoice Call (Single Sim, 4G LTE)Processor: Mediatek Helio G881 Year Comprehensive Warranty",42% off
